,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu,price
254,TE3,09:00,1.0,1,50000000.0,İşlem Görüyor, ,TRMTE3WWWWW0,17:45,1.0,1,50000000.0, ,0.0065
255,TE4,09:00,1.0,1,200000000.0,İşlem Görüyor, ,TRYTEBP00187,17:45,1.0,1,200000000.0, ,0.0098
256,TFF,09:00,1.0,1,100000000.0,İşlem Görüyor, ,TRYTEBP00021,17:45,4.0,1,100000000.0, ,0.0023
257,TGA,09:00,1.0,1,99999999999999.0,İşlem Görüyor, ,TRYGRAN00076,17:45,2.0,1,100000000000000.0, ,0.0059
258,TGE,09:30,1.0,1000,0.0,İşlem Görüyor, ,TRYTISB00042,17:45,3.0,1000,0.0, ,0.0064
259,TGR,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKPO00997,17:45,3.0,1,90000000000.0, ,0.0026
260,TIE,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTIEWWWWW3,17:45,2.0,1,0.0, ,0.01
261,TI2,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI2WWWWW8,17:45,2.0,1,0.0, ,0.002
262,TI3,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI3WWWWW6,17:45,2.0,1,0.0, ,0.0023
263,TI4,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI4WWWWW4,17:45,1.0,1,0.0, ,0.0045
264,TI6,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI6WWWWW9,17:45,1.0,1,0.0, ,0.0055
265,TI7,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI7WWWWW7,17:45,2.0,1,0.0, ,0.003
